Pollster,Date,Obama,Romney
Quinnipiac,10/31/2011,47,42
Gallup,10/27/2011,47,47
Rasmussen,10/25/2011,44,42
YouGov/Economist,10/25/2011,45,42
Democracy Corps (D)/Center for American Progress,10/18/2011,45,45
YouGov/Economist,10/18/2011,45,41
AP-GfK,10/17/2011,48,45
YouGov/Economist,10/11/2011,47,41
Time,10/10/2011,48,44
Time,10/10/2011,48,44
PPP (D),10/10/2011,45,45
NBC/WSJ,10/10/2011,46,44
Clarus,10/7/2011,37,53
Zogby (Internet),10/5/2011,41,40
YouGov/Economist,10/4/2011,44,43
Pew,10/4/2011,48,48
Quinnipiac,10/3/2011,42,46
ABC/Post,10/2/2011,46,48
FOX,9/27/2011,45,42
YouGov/Economist,9/27/2011,42,45
CNN,9/25/2011,49,48
Marist/McClatchy,9/14/2011,46,44
YouGov/Economist,9/13/2011,45,44
Zogby (Internet),9/12/2011,41,45
Bloomberg,9/12/2011,48,43
Ipsos/Reuters,9/12/2011,49,43
Rasmussen,9/11/2011,40,43
PPP (D),9/11/2011,49,45
YouGov/Economist,9/6/2011,48,41
ABC/Post,9/1/2011,45,49
