"Pollster","Date","McCain","Obama"
"LA Times/Bloomberg",2008-10-13,41,50
"CBS News/NY Times",2008-10-13,39,53
"Ipsos/McClatchy",2008-10-13,39,48
"GWU/Battleground",2008-10-13,40,53
"IBD/TIPP",2008-10-13,42,45
"USA Today/Gallup (Expanded)*",2008-10-12,45,52
"USA Today/Gallup (Traditional)*",2008-10-12,46,50
"Pew Research",2008-10-12,42,49
"Democracy Corps (D)",2008-10-12,42,51
"ABC News/Wash Post",2008-10-11,43,53
"FOX News",2008-10-09,39,46
"Newsweek",2008-10-09,41,52
"Rasmussen Reports",2008-10-09,45,50
"Gallup",2008-10-09,41,51
"Hotline/FD",2008-10-09,41,48
"GWU/Battleground",2008-10-09,43,51
"Reuters/C-SPAN/Zogby",2008-10-09,43,48
"Time",2008-10-06,44,50
"Ipsos/McClatchy",2008-10-06,40,47
"NBC News/Wall St. Jrnl",2008-10-05,43,49
"CNN",2008-10-05,45,53
"CBS News",2008-10-05,45,48
"Democracy Corps (D)",2008-10-05,46,49
"Marist",2008-09-30,44,49
"Associated Press/GfK",2008-09-30,41,48
"CBS News",2008-09-30,41,50
"ABC News/Wash Post",2008-09-29,46,50
"Pew Research",2008-09-29,43,49
"Time",2008-09-29,43,50
"Ipsos/McClatchy",2008-09-29,45,48
"Gallup Tracking",2008-09-26,44,49
"Rasmussen Tracking",2008-09-26,44,50
"Hotline/FD Tracking",2008-09-26,43,48
"GWU/Battleground",2008-09-25,48,46
"CBS News/NY Times",2008-09-24,43,48
"FOX News",2008-09-23,39,45
"Marist",2008-09-23,44,49
"ABC News/Wash Post",2008-09-22,43,52
"NBC News/Wall St. Jrnl",2008-09-22,46,48
"LA Times/Bloomberg",2008-09-22,45,49
"Ipsos/McClatchy",2008-09-22,43,44
"CNN/Opinion Research",2008-09-21,47,51
"F&M/Hearst-Argyle",2008-09-21,47,45
"GWU/Battleground",2008-09-18,47,47
"Gallup Tracking",2008-09-17,44,48
"Rasmussen Tracking",2008-09-17,48,48
"Hotline/FD Tracking",2008-09-17,42,46
"CBS News/NY Times",2008-09-16,44,49
"Quinnipiac",2008-09-16,45,49
"Pew Research",2008-09-14,46,46
"Reuters/Zogby",2008-09-13,45,47
"Newsweek",2008-09-11,46,46
"GWU/Battleground",2008-09-11,48,44
"Associated Press/GfK",2008-09-10,48,44
"FOX News",2008-09-09,45,42
"Hotline/FD Tracking",2008-09-09,45,45
"Rasmussen Tracking",2008-09-09,47,48
"Gallup Tracking",2008-09-09,48,43
"NBC News/Wall St. Jrnl",2008-09-08,45,46
"USA Today/Gallup",2008-09-07,54,44
"CNN/OpinionResearch",2008-09-07,48,48
"CBS News*",2008-09-07,46,44
"ABC News/Wash Post",2008-09-07,49,47
"IBD/TIPP",2008-09-07,40,45
"CBS News",2008-09-03,42,42
"Gallup Tracking",2008-09-01,42,50
"Rasmussen Tracking",2008-09-01,45,51
"USAT/Gallup Tracking*",2008-08-31,43,50
"CNN",2008-08-31,48,49
"CBS News",2008-08-31,40,48
"Hotline/FD",2008-08-31,39,48
"Gallup Tracking",2008-08-25,46,44
"Rasmussen Tracking",2008-08-25,46,46
"CNN",2008-08-24,47,47
"Hotline/FD",2008-08-24,40,44
"USA Today/Gallup",2008-08-23,45,48
"ABC News/Wash Post",2008-08-22,45,49
"FOX News",2008-08-20,39,42
"CBS News/NY Times",2008-08-19,42,45
"LA Times/Bloomberg",2008-08-18,43,45
"NBC News/Wall St. Jrnl",2008-08-18,42,45
"Gallup Tracking",2008-08-17,43,46
"Rasmussen Tracking",2008-08-17,46,47
"Quinnipiac",2008-08-17,42,47
"Reuters/Zogby",2008-08-16,46,41
"Battleground",2008-08-14,47,46
"Pew Research",2008-08-10,43,46
"IBD/TIPP",2008-08-09,38,43
"CBS News",2008-08-05,39,45
"AP-Ipsos",2008-08-04,42,48
"Time",2008-08-04,41,46
"Rasmussen Tracking",2008-08-03,47,46
"Gallup Tracking",2008-08-03,43,46
"CNN",2008-07-29,44,51
"USA Today/Gallup",2008-07-27,49,45
"Pew Research",2008-07-27,42,47
"Democracy Corps (D)",2008-07-24,45,50
"FOX News",2008-07-23,40,41
"NBC News/Wall St. Jrnl",2008-07-21,41,47
"Gallup Tracking",2008-07-15,44,47
"Rasmussen Tracking",2008-07-15,45,48
"CBS News/NY Times",2008-07-14,39,45
"ABC News/Wash Post",2008-07-13,46,49
"Reuters/Zogby",2008-07-13,40,47
"Quinnipiac",2008-07-13,41,50
"IBD/TIPP",2008-07-11,37,40
"Newsweek",2008-07-10,41,44
"Gallup",2008-07-02,43,47
"Rasmussen",2008-07-01,44,49
"McLaughlin (R)",2008-06-29,38,46
"CNN",2008-06-29,45,50
"Pew Research",2008-06-29,40,48
"Democracy Corps (D)",2008-06-25,45,49
"Time",2008-06-25,43,47
"LA Times/Bloomberg",2008-06-23,37,49
"F&M/Hearst-Argyle",2008-06-22,36,42
"Newsweek",2008-06-19,36,51
"USA Today/Gallup",2008-06-19,44,50
"FOX News",2008-06-18,41,45
"Cook/RT Strategies",2008-06-15,40,44
"ABC News/Wash Post",2008-06-15,45,49
"Reuters/Zogby",2008-06-14,42,47
"Ipsos",2008-06-11,43,50
"Rasmussen",2008-06-10,44,49
"Gallup",2008-06-09,41,48
"NBC News/Wall St. Jrnl",2008-06-09,41,47
"Hotline/FD",2008-06-08,42,44
"IBD/TIPP",2008-06-08,40,43
"CNN",2008-06-05,46,49
"CBS News",2008-06-03,42,48
"USA Today/Gallup",2008-06-01,44,47
"Cook/RT Strategies",2008-05-31,43,44
"Pew Research",2008-05-25,44,47
"Newsweek",2008-05-22,46,46
"Reuters/Zogby",2008-05-18,40,48
"IBD/TIPP",2008-05-18,37,48
"Rasmussen",2008-05-16,45,44
"Gallup",2008-05-16,47,44
"Democracy Corps (D)",2008-05-15,46,48
"Battleground",2008-05-14,47,49
"Quinnipiac",2008-05-12,40,47
"ABC News/Wash Post",2008-05-11,44,51
"POS/GQR",2008-05-08,43,48
"LA Times/Bloomberg",2008-05-08,40,46
"Ipsos",2008-05-04,42,46
"CBS News/NY Times",2008-05-03,40,51
"USA Today/Gallup",2008-05-03,48,47
"Hotline/FD",2008-05-03,43,47
"CNN",2008-04-30,45,49
"FOX News",2008-04-29,46,43
"CBS News/NY Times",2008-04-29,45,45
"NBC/WSJ",2008-04-28,43,46
"Rasmussen",2008-04-27,46,46
"AP-Ipsos",2008-04-27,44,46
"Pew Research",2008-04-27,44,50
"Newsweek",2008-04-25,44,47
"USA Today/Gallup",2008-04-20,44,47
"Cook/RT Strategies",2008-04-20,44,45
"Newsweek",2008-04-17,44,48
"ABC/Wash Post",2008-04-13,44,49
"Reuters/Zogby",2008-04-13,45,45
"Rasmussen",2008-04-13,49,42
"AP-Ipsos",2008-04-09,45,45
"Gallup",2008-04-06,45,45
"CBS News/NY Times",2008-04-02,42,47
"Hotline/FD",2008-03-31,46,44
"Rasmussen",2008-03-30,47,42
"NBC/WSJ",2008-03-25,42,44
"Pew Research",2008-03-22,43,49
"FOX News",2008-03-19,44,43
"CBS News",2008-03-18,43,48
"CNN",2008-03-16,46,47
"USA Today/Gallup",2008-03-15,47,49
"Reuters/Zogby",2008-03-14,46,40
"NBC/WSJ",2008-03-10,44,47
"Cook/RT Strategies",2008-03-09,45,43
"Newsweek",2008-03-06,45,46
"Cook/RT Strategies",2008-03-02,38,47
"ABC/Wash Post",2008-03-02,42,53
"LA Times/Bloomberg",2008-02-25,44,42
"AP-Ipsos",2008-02-24,41,51
"USA Today/Gallup",2008-02-24,48,47
"CBS News/NY Times",2008-02-24,38,50
"Pew Research",2008-02-24,43,50
"FOX News",2008-02-20,43,47
"Hotline/FD",2008-02-17,40,48
"Reuters/Zogby",2008-02-16,40,47
"USA Today/Gallup",2008-02-10,46,50
"AP-Ipsos",2008-02-10,42,48
"Time",2008-02-04,41,48
"CNN",2008-02-03,44,52
"Cook/RT Strategies",2008-02-02,43,45
"ABC/Wash Post",2008-02-01,46,49
"FOX News",2008-01-31,43,44
"NPR",2008-01-31,48,47
"Rasmussen",2008-01-27,47,41
"NBC/WSJ",2008-01-22,42,42
"LA Times/Bloomberg",2008-01-22,42,41
"Rasmussen",2008-01-17,41,46
"USA Today/Gallup",2008-01-13,50,45
"Hotline/FD",2008-01-12,39,41
"CNN",2008-01-10,48,49
"Rasmussen",2008-01-06,46,43
