State,Obama,McCain,Start,End,Pollster
FL,49,44,6/13,17-Jun,ARG
FL,47,43,6/9,16-Jun,Quinnipiac U.
FL,41,45,5/13,20-May,Quinnipiac U.
FL,40,50,5/19,19-May,Rasmussen
FL,43,44,4/23,29-Apr,Quinnipiac U.
FL,38,53,4/10,10-Apr,Rasmussen
FL,37,46,3/24,31-Mar,Quinnipiac U.
FL,43,47,3/12,12-Mar,Rasmussen
FL,45,47,2/26,28-Feb,SurveyUSA
FL,37,53,2/16,16-Feb,Rasmussen
GA,47,52,10/30,30-Oct,Rasmussen
GA,47,52,10/23,28-Oct,Opinion Research
GA,47,48,10/27,27-Oct,Insider Advantage
GA,43,49,10/22,23-Oct,Mason-Dixon
GA,48,47,10/23,23-Oct,Insider Advantage
GA,46,51,10/22,22-Oct,Rasmussen
GA,45,53,10/11,14-Oct,Opinion Research
GA,43,51,10/11,12-Oct,SurveyUSA
GA,46,49,10/9,9-Oct,Insider Advantage
GA,45,54,10/7,7-Oct,Rasmussen
GA,44,50,9/30,30-Sep,Insider Advantage
GA,44,52,9/28,29-Sep,SurveyUSA
GA,39,57,9/18,21-Sep,ARG
GA,43,51,9/17,17-Sep,Insider Advantage
GA,41,57,9/14,16-Sep,SurveyUSA
GA,43,54,9/16,16-Sep,Rasmussen
GA,38,56,9/10,10-Sep,Insider Advantage
GA,43,50,8/14,14-Aug,Rasmussen
GA,39,48,7/17,17-Jul,Rasmussen
GA,44,46,7/2,2-Jul,Insider Advantage
GA,43,53,6/26,26-Jun,Rasmussen
GA,43,44,6/18,18-Jun,Insider Advantage
GA,41,51,6/4,4-Jun,Rasmussen
GA,39,53,5/6,6-May,Rasmussen
GA,40,53,3/20,20-Mar,Rasmussen
GA,41,54,2/26,28-Feb,SurveyUSA
HI,68,27,9/20,20-Sep,Rasmussen
HI,63,32,9/7,12-Sep,ARG
HI,61,31,2/26,28-Feb,SurveyUSA
ID,25,68,9/8,10-Sep,ARG
ID,29,68,9/9,9-Sep,Rasmussen
ID,29,52,8/18,22-Aug,Greg Smith
ID,39,52,2/26,28-Feb,SurveyUSA
IL,60,38,11/1,1-Nov,Rasmussen
IL,61,32,10/19,22-Oct,U. of Wisconsin
IL,56,32,10/16,18-Oct,Market Shares
IL,56,39,10/13,13-Oct,Rasmussen
IL,53,37,9/14,17-Sep,U. of Wisconsin
IL,56,40,9/17,17-Sep,Rasmussen
IL,51,45,9/13,16-Sep,ARG
IL,53,38,8/12,12-Aug,Rasmussen
IL,50,37,7/8,8-Jul,Rasmussen
IL,60,31,2/26,28-Feb,SurveyUSA
IN,44,49,10/30,2-Nov,Zogby
IN,48,48,10/28,31-Oct,ARG
IN,47,47,10/27,30-Oct,SurveyUSA
IN,46,49,10/28,29-Oct,Rasmussen
IN,46,45,10/26,28-Oct,Selzer
IN,44,50,10/23,26-Oct,Zogby
IN,45,47,10/23,24-Oct,Howey-Gauge
IN,49,45,10/21,22-Oct,SurveyUSA
IN,51,41,10/19,22-Oct,U. of Wisconsin
IN,43,50,10/7,7-Oct,Rasmussen
IN,46,51,10/3,6-Oct,Opinion Research
IN,45,48,9/28,29-Sep,SurveyUSA
IN,44,47,9/15,18-Sep,ARG
IN,47,49,9/17,18-Sep,Rasmussen
IN,43,47,9/14,17-Sep,U. of Wisconsin
IN,45,51,9/14,16-Sep,Opinion Research
IN,47,44,9/14,16-Sep,Selzer
IN,43,45,8/29,30-Aug,Howey-Gauge
IN,42,46,8/19,21-Aug,Rasmussen
IN,44,50,8/16,18-Aug,SurveyUSA
IN,48,47,6/21,23-Jun,SurveyUSA
IN,38,47,5/27,1-Jun,Ind. Legis. Insight
IN,49,41,4/20,23-Apr,Selzer
IN,44,51,4/14,16-Apr,IPFW U.
IN,41,50,2/26,28-Feb,SurveyUSA
IN,40,50,2/3,4-Feb,SurveyUSA
IA,54,37,10/28,31-Oct,Selzer
IA,55,40,10/28,29-Oct,SurveyUSA
IA,52,42,10/23,24-Oct,Marist Coll.
IA,51,40,10/22,23-Oct,Mason-Dixon
IA,52,44,10/23,23-Oct,Rasmussen
IA,52,39,10/19,22-Oct,U. of Wisconsin
IA,54,41,10/8,9-Oct,SurveyUSA
IA,51,43,9/25,25-Sep,Rasmussen
IA,51,41,9/18,21-Sep,Marist Coll.
IA,51,44,9/17,20-Sep,ARG
IA,54,43,9/17,18-Sep,SurveyUSA
IA,45,45,9/14,17-Sep,U. of Wisconsin
IA,52,40,9/8,10-Sep,Selzer
IA,55,40,8/31,2-Sep,Opinion Research
IA,50,43,8/4,13-Aug,U. of Iowa
IA,46,41,8/7,7-Aug,Rasmussen
IA,51,41,7/10,10-Jul,Rasmussen
IA,49,45,6/13,16-Jun,SurveyUSA
IA,45,38,6/10,10-Jun,Rasmussen
IA,47,38,5/21,22-May,SurveyUSA
IA,44,42,5/13,13-May,Rasmussen
IA,49,42,4/11,13-Apr,SurveyUSA
IA,46,42,3/31,31-Mar,Rasmussen
IA,50,44,3/14,16-Mar,SurveyUSA
IA,50,41,2/26,28-Feb,SurveyUSA
IA,44,41,2/18,18-Feb,Rasmussen
IA,51,41,2/15,17-Feb,SurveyUSA
KS,37,58,10/27,28-Oct,SurveyUSA
KS,41,53,10/21,22-Oct,SurveyUSA
KS,41,54,10/13,13-Oct,Rasmussen
KS,41,53,9/21,22-Sep,SurveyUSA
KS,38,58,9/18,18-Sep,Rasmussen
KS,31,63,9/7,10-Sep,ARG
KS,35,58,8/18,20-Aug,SurveyUSA
KS,37,52,8/11,11-Aug,Rasmussen
KS,32,52,7/14,14-Jul,Rasmussen
KS,37,47,6/11,11-Jun,Rasmussen
KS,39,49,5/16,18-May,SurveyUSA
KS,34,55,5/13,13-May,Rasmussen
KS,37,54,4/11,13-Apr,SurveyUSA
KS,39,51,3/14,16-Mar,SurveyUSA
KS,41,50,2/26,28-Feb,SurveyUSA
KS,44,50,2/15,17-Feb,SurveyUSA
KY,40,56,10/29,1-Nov,SurveyUSA
KY,42,51,10/27,29-Oct,Mason-Dixon
KY,43,55,10/29,29-Oct,Rasmussen
KY,44,52,10/21,21-Oct,Rasmussen
KY,41,54,10/18,20-Oct,SurveyUSA
KY,42,52,9/30,30-Sep,Rasmussen
KY,41,53,9/22,25-Sep,Mason-Dixon
KY,38,57,9/21,22-Sep,SurveyUSA
KY,37,57,9/8,12-Sep,ARG
KY,37,55,8/9,11-Aug,SurveyUSA
KY,39,49,7/20,29-Jul,Rasmussen
KY,39,49,7/29,29-Jul,Rasmussen
KY,35,51,6/25,25-Jun,Rasmussen
KY,41,53,6/13,16-Jun,SurveyUSA
KY,32,56,5/16,18-May,SurveyUSA
KY,29,63,4/11,13-Apr,SurveyUSA
KY,28,64,3/14,16-Mar,SurveyUSA
KY,33,54,2/26,28-Feb,SurveyUSA
KY,32,61,2/3,4-Feb,SurveyUSA
LA,40,43,10/24,26-Oct,Loyola U.
LA,38,51,10/20,23-Oct,Southeastern La. U.
LA,41,57,10/21,21-Oct,Rasmussen
LA,40,55,9/25,25-Sep,Rasmussen
LA,43,50,9/9,12-Sep,ARG
LA,38,55,8/17,17-Aug,Rasmussen
LA,37,56,7/9,9-Jul,Rasmussen
LA,36,52,6/26,28-Jun,Opinion Res.
LA,41,50,5/28,28-May,Rasmussen
LA,35,51,3/26,9-Apr,Opinion Res.
LA,41,52,4/9,9-Apr,Rasmussen
LA,39,54,2/26,28-Feb,SurveyUSA
ME,56,43,11/1,1-Nov,Rasmussen
ME,54,39,10/19,20-Oct,SurveyUSA
ME,56,35,10/16,19-Oct,Critical Insights
ME,51,39,10/13,16-Oct,Pan Atlantic SMS
ME,51,46,10/2,2-Oct,Rasmussen
ME,49,44,9/22,23-Sep,SurveyUSA
ME,50,46,9/17,17-Sep,Rasmussen
ME,51,41,9/8,10-Sep,ARG
ME,49,36,8/12,12-Aug,Rasmussen
ME,46,36,7/17,17-Jul,Rasmussen
ME,51,31,6/1,27-Jun,Critical Insights
ME,37,26,6/10,18-Jun,Pan Atlantic SMS
ME,55,33,6/16,16-Jun,Rasmussen
ME,51,38,5/14,14-May,Rasmussen
ME,49,39,4/1,1-Apr,Rasmussen
ME,53,39,2/26,28-Feb,SurveyUSA
MD,60,37,9/20,20-Sep,Rasmussen
MD,54,39,9/17,19-Sep,ARG
MD,52,38,8/29,5-Sep,Gonzales Research
MD,53,41,8/18,18-Aug,Rasmussen
MD,51,37,2/23,1-Mar,Gonzales Res.
MD,53,40,2/26,28-Feb,SurveyUSA
MA,56,39,10/27,28-Oct,SurveyUSA
MA,53,34,10/20,22-Oct,Suffolk U.
MA,59,35,10/13,14-Oct,SurveyUSA
MA,62,34,10/13,13-Oct,Rasmussen
MA,55,39,9/22,23-Sep,SurveyUSA
MA,58,38,9/23,23-Sep,Rasmussen
MA,55,39,9/20,22-Sep,ARG
MA,51,36,8/5,5-Aug,Rasmussen
MA,47,38,7/31,3-Aug,Suffolk U.
MA,53,33,6/30,30-Jun,Rasmussen
MA,53,40,6/25,27-Jun,SurveyUSA
MA,53,30,6/8,10-Jun,Suffolk U.
MA,51,38,5/29,29-May,Rasmussen
MA,46,41,5/16,18-May,SurveyUSA
MA,51,39,4/23,23-Apr,Rasmussen
MA,48,46,4/11,13-Apr,SurveyUSA
MA,49,42,3/18,18-Mar,Rasmussen
MA,47,47,3/14,16-Mar,SurveyUSA
MA,49,42,2/26,28-Feb,SurveyUSA
MA,48,46,2/15,17-Feb,SurveyUSA
MI,53,37,10/28,31-Oct,Selzer
MI,50,38,10/26,28-Oct,EPIC-MRA
MI,53,43,10/28,28-Oct,Rasmussen
MI,51,37,10/19,22-Oct,EPIC-MRA
MI,58,36,10/19,22-Oct,U. of Wisconsin
MI,54,38,10/8,12-Oct,Quinnipiac U.
MI,56,40,10/8,8-Oct,Rasmussen
MI,51,38,9/22,24-Sep,Selzer
MI,46,46,9/18,23-Sep,Mason-Dixon
MI,51,46,9/21,23-Sep,Opinion Research
MI,47,39,9/18,22-Sep,Financial Dynamics
MI,48,38,9/20,22-Sep,EPIC-MRA
MI,48,44,9/14,21-Sep,Quinnipiac U.
MI,51,44,9/21,21-Sep,Rasmussen
MI,43,46,9/15,19-Sep,Marketing Resource Grp.
MI,48,46,9/16,19-Sep,ARG
MI,43,42,9/14,17-Sep,EPIC-MRA
MI,48,44,9/14,17-Sep,U. of Wisconsin
MI,52,43,9/16,17-Sep,Marist Coll.
MI,44,45,9/9,10-Sep,Insider Advantage
MI,51,46,9/10,10-Sep,Rasmussen
MI,49,45,9/7,9-Sep,Opinion Research
MI,43,41,8/18,21-Aug,EPIC-MRA
MI,46,39,8/17,20-Aug,Selzer
MI,47,40,8/7,7-Aug,Rasmussen
MI,46,42,7/14,22-Jul,Quinnipiac U.
MI,43,41,7/13,16-Jul,EPIC-MRA
MI,50,42,7/10,10-Jul,Rasmussen
MI,48,42,6/17,24-Jun,Quinnipiac U.
MI,45,42,6/9,9-Jun,Rasmussen
MI,37,41,5/27,28-May,SurveyUSA
MI,40,44,5/19,22-May,EPIC-MRA
MI,44,45,5/8,8-May,Rasmussen
MI,44,45,5/7,7-May,Rasmussen
MI,43,41,4/3,8-Apr,EPIC-MRA
MI,42,43,3/25,25-Mar,Rasmussen
MI,41,44,3/10,10-Mar,Rasmussen
MI,46,45,2/26,28-Feb,SurveyUSA
MN,49,46,10/30,1-Nov,SurveyUSA
MN,53,42,10/29,31-Oct,Princeton Survey
MN,48,40,10/27,28-Oct,Mason-Dixon
MN,55,43,10/28,28-Oct,Rasmussen
MN,56,37,10/24,28-Oct,U. of Minnesota
MN,42,37,10/14,22-Oct,St. Cloud State U.
MN,56,41,10/22,22-Oct,Rasmussen
MN,57,38,10/19,22-Oct,U. of Wisconsin
MN,50,40,10/16,20-Oct,Financial Dynamics
MN,50,44,10/16,18-Oct,SurveyUSA
MN,52,41,10/16,17-Oct,Princeton Survey
MN,52,41,10/16,17-Oct,Star Tribune
MN,51,40,10/8,12-Oct,Quinnipiac U.
MN,47,46,10/4,7-Oct,ARG
MN,49,47,10/6,7-Oct,SurveyUSA
MN,52,45,10/7,7-Oct,Rasmussen
MN,54,40,10/3,5-Oct,U. of Minnesota
MN,55,37,9/30,2-Oct,Princeton Survey
MN,46,47,9/30,1-Oct,SurveyUSA
MN,54,43,9/28,30-Sep,Opinion Research
MN,47,45,9/14,21-Sep,Quinnipiac U.
MN,48,47,9/18,20-Sep,ARG
MN,52,44,9/18,18-Sep,Rasmussen
MN,47,45,9/14,17-Sep,U. of Wisconsin
MN,45,45,9/10,12-Sep,Princeton Survey
MN,49,47,9/10,11-Sep,SurveyUSA
MN,53,41,8/31,2-Sep,Opinion Research
MN,48,38,8/7,17-Aug,U. of Minnesota
MN,47,45,8/13,14-Aug,SurveyUSA
MN,46,42,8/13,13-Aug,Rasmussen
MN,46,44,7/14,22-Jul,Quinnipiac U.
MN,49,37,7/22,22-Jul,Rasmussen
MN,52,34,7/10,10-Jul,Rasmussen
MN,54,37,6/17,24-Jun,Quinnipiac U.
MN,47,46,6/13,16-Jun,SurveyUSA
MN,52,39,6/11,11-Jun,Rasmussen
MN,53,38,5/22,22-May,Rasmussen
MN,47,42,5/16,18-May,SurveyUSA
MN,51,38,5/12,15-May,Star Tribune
MN,52,38,4/22,22-Apr,Rasmussen
MN,49,43,4/11,13-Apr,SurveyUSA
MN,47,43,3/19,19-Mar,Rasmussen
MN,46,47,3/14,16-Mar,SurveyUSA
MN,49,42,2/26,28-Feb,SurveyUSA
MN,55,40,2/15,17-Feb,SurveyUSA
MN,53,38,2/16,16-Feb,Rasmussen
MS,45,53,10/27,27-Oct,Rasmussen
MS,33,46,10/13,23-Oct,U. of South Alabama
MS,33,46,10/13,23-Oct,USA Polling Group
MS,44,52,9/30,30-Sep,Rasmussen
MS,39,55,9/13,16-Sep,ARG
MS,41,54,8/21,21-Aug,Rasmussen
MS,41,52,7/28,28-Jul,Rasmussen
MS,44,50,6/24,24-Jun,Rasmussen
MS,44,50,5/27,27-May,Rasmussen
MS,41,54,2/26,28-Feb,SurveyUSA
MO,47,46,10/30,2-Nov,Zogby
MO,46,47,10/29,30-Oct,Mason-Dixon
MO,48,48,10/28,30-Oct,ARG
MO,47,50,10/29,29-Oct,Insider Advantage
MO,48,50,10/23,28-Oct,Opinion Research
MO,48,46,10/23,26-Oct,Zogby
MO,48,47,10/26,26-Oct,Rasmussen
MO,48,48,10/25,26-Oct,SurveyUSA
MO,45,46,10/22,23-Oct,Mason-Dixon
MO,44,45,10/17,19-Oct,Suffolk U.
MO,49,44,10/19,19-Oct,Rasmussen
MO,52,46,10/15,15-Oct,Rasmussen
MO,48,49,10/11,14-Oct,Opinion Research
MO,50,47,10/12,12-Oct,Rasmussen
MO,51,43,10/11,12-Oct,SurveyUSA
MO,46,49,10/4,6-Oct,ARG
MO,50,47,10/5,5-Oct,Rasmussen
MO,49,48,9/28,30-Sep,Opinion Research
MO,46,48,9/23,24-Sep,SurveyUSA
MO,45,50,9/11,15-Sep,ARG
MO,46,51,9/11,11-Sep,Rasmussen
MO,45,50,9/7,9-Sep,Opinion Research
MO,41,48,8/7,7-Aug,Rasmussen
MO,44,49,7/29,31-Jul,SurveyUSA
MO,42,47,7/7,7-Jul,Rasmussen
MO,43,50,6/20,22-Jun,SurveyUSA
MO,43,42,6/3,3-Jun,Rasmussen
MO,45,43,5/16,18-May,SurveyUSA
MO,41,47,5/6,6-May,Rasmussen
MO,42,50,4/11,13-Apr,SurveyUSA
MO,38,53,3/24,24-Mar,Rasmussen
MO,39,53,3/14,16-Mar,SurveyUSA
MO,42,48,2/26,28-Feb,SurveyUSA
MO,49,43,2/15,17-Feb,SurveyUSA
MO,40,42,2/12,12-Feb,Rasmussen
MT,46,49,10/28,30-Oct,ARG
MT,46,50,10/29,29-Oct,Rasmussen
MT,44,48,10/23,25-Oct,Mason-Dixon
MT,44,40,10/16,20-Oct,Montana State U.
MT,45,50,10/6,8-Oct,ARG
MT,44,52,10/1,1-Oct,Rasmussen
MT,43,54,9/21,23-Sep,Opinion Research
MT,47,49,9/7,9-Sep,ARG
MT,42,53,9/8,8-Sep,Rasmussen
MT,44,45,7/29,29-Jul,Rasmussen
MT,48,43,7/1,1-Jul,Rasmussen
MT,39,47,5/19,21-May,Mason-Dixon
MT,43,48,4/6,6-Apr,Rasmussen
MT,39,47,2/26,28-Feb,SurveyUSA
NE,37,56,9/30,30-Sep,Rasmussen
NE,34,60,9/12,17-Sep,ARG
NE,32,50,7/28,28-Jul,Rasmussen
NE,36,52,6/23,23-Jun,Rasmussen
NE,40,49,5/16,18-May,SurveyUSA
NE,39,50,5/15,15-May,Rasmussen
NE,42,45,2/26,28-Feb,SurveyUSA
NV,51,43,10/30,2-Nov,Zogby
NV,47,43,10/28,29-Oct,Mason-Dixon
