State,Kerry,Bush,Date,Pollster
CO,40,49,4/1,Public Opinion Strat.
CT,47,38,9/26,Quinnipiac Univ.
CT,54,39,9/12,ARG
CT,45,38,8/17,Quinnipiac Univ.
CT,50,32,6/28,Quinnipiac Univ.
CT,46,36,6/1,Quinnipiac Univ.
CT,51,33,4/27,Univ. of Connecticut
DE,45,38,9/23,West Chester Univ.
DE,50,41,9/13,ARG
DC,78,11,9/11,ARG
FL,50,48,10/31,ARG
FL,48,48,10/30,Zogby
FL,49,44,10/30,Opinion Dynamics
FL,48,49,10/29,SurveyUSA
FL,43,51,10/28,Quinnipiac Univ.
FL,49,45,10/28,Gallup
FL,45,49,10/27,Mason-Dixon
FL,45,49,10/24,Zogby
FL,48,47,10/24,Florida Poll
FL,48,47,10/24,NY Times
FL,41,49,10/23,LA Times
FL,44,44,10/23,Quinnipiac Univ.
FL,49,46,10/23,ARG
FL,42,51,10/22,Gallup
FL,46,46,10/22,Insider Advantage
FL,50,48,10/22,SurveyUSA
FL,46,46,10/19,Insider Advantage
FL,46,46,10/19,Schroth
FL,43,45,10/16,Quinnipiac
FL,49,50,10/15,Zogby
FL,50,49,10/15,SurveyUSA
FL,45,48,10/14,Mason-Dixon
FL,45,43,10/12,Univ. of Northern Florida
FL,46,47,10/12,Rasmussen
FL,48,44,10/12,Insider Advantage
FL,46,48,10/10,Rasmussen
FL,47,47,10/6,WA Post
FL,44,48,10/4,Mason-Dixon
FL,47,45,10/3,American Res.Group
FL,47,45,10/3,ARG
FL,42,46,10/2,Quinnipiac Univ.
FL,49,47,10/2,Hamilton Beattie
FL,50,49,10/2,Zogby
FL,46,51,10/1,SurveyUSA
FL,45,51,9/30,Rasmussen
FL,44,49,9/25,Gallup
FL,41,49,9/19,Quinnipiac Univ.
FL,45,47,9/19,Gallup
FL,46,45,9/18,ARG
FL,48,48,9/14,Zogby
FL,45,51,9/12,SurveyUSA
FL,47,48,9/12,Rasmussen
FL,47,48,9/7,Rasmussen
FL,47,49,8/24,Rasmussen
FL,46,48,8/22,Gallup
FL,50,49,8/21,Zogby
FL,47,41,8/10,Quinnipiac Univ.
FL,50,43,8/5,ARG
FL,50,47,7/30,Zogby
FL,48,49,7/23,Zogby
FL,46,50,7/22,Gallup
FL,44,45,7/21,LA Times
FL,45,46,7/21,LA Times&Mason-Dix
FL,47,44,7/15,ARG
FL,47,44,7/11,Survey USA
FL,48,43,6/30,Rasmussen
FL,48,40,6/29,Rasmussen
FL,43,43,6/27,Quinnipiac Univ.
FL,47,46,6/23,ARG
FL,48,42,6/22,Rasmussen
FL,46,50,6/20,Zogby
FL,48,44,6/17,Rasmussen
FL,43,50,6/14,Survey USA
FL,50,48,6/6,Zogby
FL,49,48,5/23,Zogby
GA,43,55,10/28,SurveyUSA
GA,40,57,10/18,SurveyUSA
GA,41,51,10/13,Atlanta Journal
GA,41,51,10/13,Zogby
GA,39,58,10/5,SurveyUSA
GA,38,58,9/13,SurveyUSA
GA,42,53,9/11,ARG
GA,41,52,6/30,Rasmussen
GA,32,49,6/2,Inside Advantage
GA,39,51,5/31,Rasmussen
GA,44,47,2/9,Shapiro Res. Group
HI,45,46,10/18,SMS Research
HI,43,43,10/15,Ward Research
HI,51,41,9/8,ARG
HI,48,41,8/3,SMS Research
ID,30,59,9/8,ARG
ID,25,55,6/14,Greg Smith
IL,54,42,10/27,SurveyUSA
IL,50,42,10/17,Market Shares
IL,55,39,10/4,SurveyUSA
IL,49,40,9/18,Market Shares
IL,51,42,9/15,Rasmussen
IL,49,43,9/14,ARG
IL,49,45,9/12,SurveyUSA
IL,52,38,8/21,Market Shares
IL,54,39,7/30,Rasmussen
IL,53,37,6/30,Rasmussen
IL,52,39,6/9,Survey USA
IL,54,38,5/24,Survey USA
IN,37,57,10/27,Selzer
IN,39,58,10/27,SurveyUSA
IN,39,58,10/3,SurveyUSA
IN,33,61,10/1,Selzer
IN,39,54,9/17,ARG
IN,36,60,9/7,SurveyUSA
IN,40,52,8/18,Bellwether Research
IN,27,46,7/12,Market Research Inf.
IN,36,52,6/24,Bellwether
IN,33,54,5/19,Selzer & Co.
IA,50,47,11/1,SurveyUSA
IA,44,48,10/30,Opinion Dynamics
IA,50,45,10/30,Zogby
IA,45,47,10/28,Gallup
IA,49,49,10/28,SurveyUSA
IA,44,49,10/27,Selzer
IA,48,45,10/26,Selzer
IA,47,48,10/25,ARG
IA,45,45,10/24,Zogby
IA,48,47,10/23,Gallup
IA,45,51,10/18,SurveyUSA
IA,43,49,10/16,Mason-Dixon
IA,46,45,10/16,Central Surveys
IA,51,48,10/15,Zogby
IA,47,47,10/10,ARG
IA,45,47,10/9,Market Shares
IA,48,47,10/4,SurveyUSA
IA,43,46,10/3,Harstad
IA,51,45,10/2,Zogby
IA,48,47,9/30,Univ. of MN
IA,45,48,9/21,Opinion Dynamics
IA,43,48,9/17,Gallup
IA,45,48,9/15,Rasmussen
IA,42,48,9/14,Mason-Dixon
IA,49,47,9/14,Zogby
IA,46,48,9/12,ARG
IA,51,45,8/26,Gallup
IA,52,45,8/21,Zogby
IA,50,46,7/30,Zogby
IA,46,46,7/28,ARG
IA,49,48,7/23,Zogby
IA,48,44,7/12,Hubert Humphrey Inst
IA,48,47,7/10,Zogby
IA,48,44,6/30,Rasmussen
IA,49,47,6/20,Zogby
IA,49,48,6/6,Zogby
IA,46,42,5/25,Zogby
IA,45,50,5/23,Zogby
IA,47,46,4/21,ARG
KS,37,60,10/25,SurveyUSA
KS,30,59,10/23,Market Research
KS,38,57,10/9,SurveyUSA
KS,35,57,9/16,ARG
KS,35,60,9/7,SurveyUSA
KS,36,56,6/30,Survey USA
KS,39,57,3/4,Survey USA
KY,38,59,10/28,SurveyUSA
KY,39,56,10/18,Bluegrass Poll
KY,37,59,10/17,SurveyUSA
KY,38,57,10/4,SurveyUSA
KY,38,53,9/12,Bluegrass Poll
KY,39,57,9/9,ARG
KY,39,56,9/7,SurveyUSA
KY,39,56,8/15,Survey USA
KY,42,52,7/26,Survey USA
KY,39,52,6/8,Survey USA
LA,32,58,10/19,Southeastern La. Univ.
LA,37,52,10/17,Market Research
LA,40,48,10/16,Univ. of New Orleans
LA,32,50,10/12,SMOR
LA,36,51,10/5,Marketing Research
LA,42,50,9/18,ARG
LA,36,52,7/20,Market Research
LA,42,48,5/26,Market Research
LA,29,48,5/25,Market Research
LA,29,48,5/25,Multi-Quest
LA,38,52,3/29,Harris Deville
ME,52,44,10/28,SurveyUSA
ME,50,39,10/20,Zogby
ME,51,45,10/17,SurveyUSA
ME,49,47,10/3,SurveyUSA
ME,46,47,9/20,SurveyUSA
ME,45,42,9/16,Critical Insights
ME,43,43,9/8,Zogby
ME,48,44,9/8,ARG
ME,49,44,8/24,Survey USA
ME,48,44,7/31,Rasmussen
ME,46,45,6/30,Rasmussen
ME,54,35,5/31,Rasmussen
ME,49,39,5/20,Critical Insight
ME,51,38,3/3,Other
MD,54,43,10/27,SurveyUSA
MD,56,39,10/25,Ipsos
MD,56,41,10/5,SurveyUSA
MD,52,42,10/2,Gonzales Res.
MD,48,48,9/17,SurveyUSA
MD,52,43,9/7,ARG
MD,53,42,8/25,Survey USA
MD,53,40,8/15,Gonzales Res.
MD,53,39,6/30,Rasmussen
MD,52,38,6/9,Gonzales Res.
MD,48,43,3/24,Gonzales Res.
MA,50,36,9/30,Merrimack Coll.
MA,64,27,9/11,ARG
MA,56,30,7/28,Center for Public Opin.
MA,59,30,7/18,Suffolk University
MA,60,31,6/30,Rasmussen
MA,54,30,5/6,Univ. of Mass.
MI,52,46,10/30,Zogby
MI,50,47,10/28,SurveyUSA
MI,47,45,10/27,Mason-Dixon
MI,43,41,10/26,Mitchell Research
MI,49,44,10/24,Zogby
MI,45,44,10/22,Mitchell Research
MI,42,47,10/19,Mitchell Research
MI,49,43,10/19,EPIC-MRA
MI,43,47,10/18,Mitchell Research
MI,51,44,10/18,SurveyUSA
MI,47,46,10/16,Mason-Dixon
MI,53,46,10/15,Zogby
MI,49,45,10/12,Rasmussen
MI,47,45,10/10,Rasmussen
MI,52,42,10/4,SurveyUSA
MI,54,44,10/2,Zogby
MI,47,47,9/30,Rasmussen
MI,48,46,9/24,Detroit Free Press
MI,45,43,9/21,Marketing Resource Grp.
MI,46,44,9/21,Opinion Dynamics
MI,49,44,9/19,Rasmussen
MI,48,40,9/18,ARG
MI,48,44,9/16,EPIC-MRA
MI,47,41,9/14,Mason-Dixon
MI,48,46,9/12,Rasmussen
MI,50,44,9/11,Gallup
MI,50,45,9/7,Rasmussen
MI,48,45,9/5,Rasmussen
MI,48,45,8/24,Survey USA
MI,51,45,8/21,Zogby
MI,48,45,8/19,ARG
MI,49,42,8/10,EPIC/MRA
MI,52,41,8/4,Survey USA
MI,52,45,7/30,Zogby
MI,53,44,7/23,Zogby
MI,50,44,7/10,Zogby
MI,49,44,7/8,American Res&EPIC
MI,47,43,6/30,SurveyUSA&Mitchell
MI,51,41,6/30,Survey USA
MI,40,42,6/23,Fox/Opinion Dyn.
MI,46,47,6/20,Zogby
MI,42,44,6/8,LA Times
MI,45,43,6/6,EPIC/MRA
MI,47,43,6/2,Survey USA
MI,50,41,5/23,Zogby
MN,51,45,10/30,Zogby
MN,51,43,10/29,Gallup
MN,51,43,10/28,Gallup
MN,47,48,10/27,Mason-Dixon
MN,49,41,10/27,Star-Tribune
MN,46,44,10/24,Zogby
MN,44,47,10/23,Univ. of Minnesota
MN,46,42,10/21,St. Cloud State Univ.
MN,45,47,10/16,Mason-Dixon
MN,54,43,10/15,Zogby
MN,47,47,10/12,Rasmussen
MN,49,45,10/10,Rasmussen
MN,45,43,10/9,Market Shares
MN,48,43,10/9,Star Tribune
MN,52,44,10/2,Zogby
MN,48,45,9/30,Rasmussen
MN,46,46,9/19,Rasmussen
MN,46,46,9/18,Rasmussen
MN,52,42,9/14,Zogby
MN,45,45,9/12,Gallup
MN,45,46,9/12,Mason-Dixon
MN,47,45,9/10,ARG
MN,50,41,9/9,Market Solutions
MN,50,45,8/21,Zogby
MN,52,44,7/30,Zogby
MN,46,44,7/14,Mason-Dixon
MN,47,44,7/12,Hubert Humphrey Inst
MN,49,44,7/10,Zogby
MN,50,45,6/20,Zogby
MN,51,44,6/6,Zogby
MN,44,41,5/26,Zogby
MN,51,42,5/23,Zogby
MS,42,51,9/15,ARG
MO,47,52,10/29,Survey
MO,44,49,10/27,Mason-Dixon
MO,45,49,10/23,Market Research
MO,45,52,10/23,SurveyUSA
MO,45,51,10/16,SurveyUSA
MO,48,51,10/15,Zogby
MO,44,49,10/14,Mason-Dixon
MO,47,49,10/2,SurveyUSA
MO,48,50,10/2,Zogby
MO,44,50,9/17,ARG
MO,41,48,9/14,Mason-Dixon
MO,46,51,9/14,Zogby
MO,46,48,9/7,SurveyUSA
MO,41,55,9/4,Gallup
MO,44,46,8/24,LA Times
MO,49,49,8/21,Zogby
MO,47,48,8/17,Survey USA
MO,49,48,7/30,Zogby
MO,49,48,7/23,Zogby
MO,46,44,7/20,Market Research Inst.
MO,50,47,7/10,Zogby
MO,46,48,7/8,Survey USA
MO,44,48,6/30,Rasmussen
MO,48,49,6/20,Zogby
MO,37,48,6/8,LA Times
MO,47,44,5/23,Zogby
MT,36,57,10/18,Mason-Dixon
MT,34,55,10/8,Montana State Univ.
MT,36,54,9/20,Mason-Dixon
MT,32,60,9/7,ARG
MT,33,53,5/26,Mason-Dixon
NE,32,61,10/17,RKM Research
NE,30,61,9/10,ARG
NV,45,53,10/31,SurveyUSA
NV,45,50,10/30,Zogby
NV,49,49,10/28,SurveyUSA
NV,44,50,10/27,Mason-Dixon
NV,46,49,10/24,Zogby
NV,41,45,10/17,Belden Russenello
NV,45,52,10/16,SurveyUSA
NV,46,50,10/15,Zogby
NV,42,52,10/14,Mason-Dixon
NV,48,47,10/2,Zogby
NV,46,50,10/1,SurveyUSA
NV,44,48,9/23,Belden Russenello
NV,46,48,9/19,Gallup
NV,47,49,9/14,Zogby
NV,45,47,9/13,Rasmussen
NV,45,50,9/13,Mason-Dixon
NV,45,47,9/12,ARG
NV,47,51,9/11,SurveyUSA
NV,48,46,8/21,Zogby
NV,46,47,8/16,Rasmussen
NV,46,49,8/16,Survey USA
NV,45,46,7/30,Zogby
NV,47,46,7/23,Zogby
NV,49,45,7/22,Survey USA
NV,43,45,7/10,Zogby
NV,47,44,6/23,Zogby
NV,45,47,6/20,Zogby
NV,47,44,6/6,Zogby
NV,47,44,5/23,Zogby
NH,48,49,10/31,ARG
NH,49,48,10/29,Univ. of New Hampshire
NH,47,47,10/28,ARG
NH,47,46,10/27,Mason-Dixon
NH,50,46,10/26,Univ. of New Hampshire
NH,50,43,10/25,Franklin Pierce Coll.
NH,50,41,10/19,Franklin Pierce Coll.
NH,46,47,10/16,ARG
NH,46,41,10/15,Suffolk Univ.
NH,51,46,10/15,Zogby
NH,45,48,10/14,Mason-Dixon
NH,47,47,10/3,American Research Group
NH,47,47,10/3,ARG
NH,49,43,10/3,Franklin Pierce Coll.
NH,51,44,10/2,Zogby
NH,49,43,10/1,Becker Institute
NH,45,47,9/15,ARG
NH,48,45,9/14,Zogby
NH,40,49,9/13,Mason-Dixon
NH,51,43,8/21,Zogby
NH,49,42,8/5,ARG
NH,51,42,7/30,Zogby
NH,47,42,7/23,Zogby
NH,47,45,7/21,ARG
NH,47,43,7/20,Univ. of New Hampsh.
NH,49,40,7/10,Zogby
NH,46,43,6/20,Zogby
NH,46,46,6/9,ARG
NH,50,40,5/23,Zogby
NJ,48,43,10/28,Quinnipiac Univ
NJ,45,41,10/27,Eagleton-Rutgers
NJ,54,42,10/27,SurveyUSA
NJ,47,40,10/24,Fairleigh Dickinson Univ.
NJ,45,41,10/22,Quinnipiac Univ.
NJ,49,41,10/16,Fairleigh-Dickinson Univ.
NJ,41,43,10/15,Eagleton-Rutgers
NJ,49,45,10/15,Quinnipiac Univ.
NJ,51,38,10/15,Eagleton-Rutgers
NJ,44,42,10/10,Fairleigh Dickinson Univ.
NJ,48,43,10/9,Fairleigh Dickinson Univ.
NJ,47,40,10/3,Eagleton-Rutgers
NJ,49,41,10/3,Fairleigh Dickinson Univ.
NJ,49,46,10/2,Quinnipiac
NJ,50,45,10/1,SurveyUSA
NJ,50,46,9/30,Rasmussen
NJ,45,44,9/25,Fairleigh Dickinson
NJ,47,43,9/17,Quinnipiac Univ.
NJ,50,42,9/14,ARG
NJ,45,49,9/12,SurveyUSA
NJ,43,39,9/4,Eagleton-Rutgers
NJ,49,39,8/23,Quinnipiac Univ.
NJ,53,33,8/4,Eagleton-Rutgers
NJ,49,36,8/2,Quinnipiac Univ.
NJ,42,41,7/26,Fairleigh Dickinson U.
NJ,51,41,6/30,Rasmussen
NJ,46,40,6/20,Quinnipiac Univ.
NJ,46,43,5/16,Quinnipiac Univ.
NM,51,48,10/30,Zogby
NM,48,47,10/28,ARG
NM,44,47,10/27,Research and Polling
NM,45,49,10/27,Mason-Dixon
NM,43,48,10/24,Zogby
NM,44,49,10/16,Mason-Dixon
NM,48,46,10/16,ARG
NM,54,44,10/15,Zogby
NM,46,47,10/4,Gallup
NM,46,43,10/2,Research and Polling
NM,54,43,10/2,Zogby
NM,43,47,9/15,Mason-Dixon
NM,49,44,9/14,ARG
NM,54,42,9/14,Zogby
NM,50,44,8/21,Zogby
NM,49,42,8/19,ARG
NM,46,46,8/15,Rasmussen
NM,50,43,8/4,Rasmussen
NM,49,48,7/30,Zogby
NM,52,42,7/23,Zogby
NM,49,42,7/10,Zogby
NM,49,42,7/8,American Research
NM,50,43,6/20,Zogby
NM,47,48,6/6,Zogby
NM,48,43,5/23,Zogby
NY,52,37,10/26,Siena Coll.
NY,57,39,10/26,SurveyUSA
NY,54,38,10/25,Marist Coll.
NY,58,35,10/9,SurveyUSA
NY,51,31,9/21,Siena College
NY,55,39,9/18,SurveyUSA
NY,49,44,9/14,Rasmussen
NY,52,40,9/14,ARG
NY,48,40,9/13,Marist College
NY,47,41,9/9,Quinnipiac Univ.
NY,56,37,8/26,Rasmussen
NY,53,35,8/9,Quinnipiac Univ.
NY,51,29,7/15,Siena Coll. Res. Inst.
NY,58,30,6/30,Rasmussen
NY,55,36,6/14,Quinnipiac Univ.
NY,57,34,5/31,Rasmussen
NY,51,32,4/22,Siena Coll. Res. Inst.
NC,45,53,10/29,SurveyUSA
NC,43,52,10/25,Mason-Dixon
NC,44,54,10/22,SurveyUSA
NC,43,51,10/18,Mason-Dixon
NC,47,50,10/15,SurveyUSA
NC,47,51,10/15,Zogby
NC,45,52,10/2,SurveyUSA
NC,47,50,10/2,Zogby
NC,43,52,9/26,Mason-Dixon
NC,44,49,9/14,ARG
NC,47,52,9/14,Zogby
NC,42,54,9/12,Rasmussen
NC,41,54,9/10,Rasmussen
NC,43,53,9/9,Rasmussen
NC,43,53,9/8,Rasmussen
NC,44,53,9/6,Rasmussen
NC,46,50,9/6,SurveyUSA
NC,42,55,9/5,Rasmussen
NC,45,51,8/15,Survey USA
NC,44,51,7/26,Survey USA
NC,45,48,7/13,Mason-Dixon
NC,41,56,7/11,Gallup
NC,42,49,6/30,Rasmussen
NC,41,48,5/17,Mason-Dixon
ND,35,55,10/18,MN State Univ.
ND,33,62,9/8,ARG
OH,43,49,10/30,Zogby
OH,47,50,10/30,Opinion Dynamics
OH,47,49,10/29,SurveyUSA
OH,51,44,10/29,Gallup
OH,49,50,10/28,Univ. of Cincinnati
OH,45,48,10/26,Mason-Dixon
OH,44,46,10/24,Zogby
OH,50,50,10/24,Columbus Dispatch
OH,49,45,10/23,LA Times
OH,49,47,10/23,ARG
OH,50,47,10/23,SurveyUSA
OH,49,43,10/18,Ohio Univ.
OH,50,44,10/18,Gallup
OH,45,47,10/17,Opinion Dynamics
OH,49,47,10/16,SurveyUSA
OH,48,51,10/15,Zogby
OH,50,47,10/15,ABC News
OH,45,46,10/14,Mason-Dixon
OH,48,46,10/13,Univ. of Cincinnati
OH,47,49,10/12,Rasmussen
OH,46,49,10/10,Rasmussen
OH,49,45,10/9,Market Shares
OH,48,47,10/4,ARG
OH,49,48,10/2,SurveyUSA
OH,49,49,10/2,Zogby
OH,46,48,9/30,Rasmussen
OH,49,46,9/26,Gallup
OH,44,48,9/21,Opinion Dynamics
OH,45,48,9/19,Rasmussen
OH,46,48,9/18,ARG
OH,42,49,9/14,Mason-Dixon
OH,43,54,9/14,Univ. of Cincinnati
OH,47,50,9/14,Zogby
OH,42,50,9/11,Mason-Dixon
OH,47,50,9/6,SurveyUSA
OH,43,52,9/5,Gallup
OH,44,49,8/24,LA Times
OH,46,51,8/21,Zogby
OH,47,48,8/17,U. Cinci & Strat. Vision
OH,48,46,8/17,Univ. of Cincinnati
OH,47,45,8/15,Gallup
OH,48,45,8/11,ARG
OH,46,51,7/30,Zogby
OH,44,47,7/23,Columbus Dispatch
OH,47,48,7/23,Zogby
OH,47,45,7/22,ARG
OH,49,48,7/10,Zogby
OH,44,48,6/30,Rasmussen
OH,45,44,6/23,American Res.&Fox
OH,49,43,6/23,ARG
OH,45,51,6/20,Zogby
OH,45,42,6/8,LA Times
OH,44,46,5/31,Rasmussen
OH,41,47,5/25,LA Times
OH,49,45,5/23,Zogby
OK,34,64,10/28,SurveyUSA
OK,34,64,10/18,SurveyUSA
OK,30,64,10/10,Cole Hargrave
OK,33,63,10/4,SurveyUSA
OK,33,64,9/20,SurveyUSA
OK,38,55,9/17,ARG
OK,38,57,8/18,Survey USA
OK,36,56,7/29,Basswood Research
OK,35,59,7/12,Consumer Logic
OK,31,63,6/30,Rasmussen
OK,34,53,5/19,Wilson Research
OR,50,44,10/27,Mason-Dixon
OR,49,43,10/25,Davis Hibbitts
OR,50,46,10/25,ARG
OR,50,47,10/25,SurveyUSA
OR,47,46,10/16,Mason-Dixon
OR,52,45,10/16,Gallup
OR,56,43,10/15,Zogby
OR,52,45,10/12,Rasmussen
OR,43,48,10/10,Riley Research
OR,49,44,10/10,ARG
OR,53,44,10/9,SurveyUSA
OR,54,44,10/2,Zogby
OR,47,45,9/25,Davis Hibbits
OR,47,48,9/19,SurveyUSA
OR,43,47,9/14,Mason-Dixon
OR,54,42,9/14,Zogby
OR,47,45,9/11,ARG
OR,53,43,9/1,Zogby
OR,54,43,8/21,Zogby
OR,50,46,7/30,Zogby
OR,52,43,7/23,Zogby
OR,50,42,7/22,ARG
OR,52,42,7/10,Zogby
OR,51,44,6/20,Zogby
OR,44,39,6/1,Moore Information
OR,50,44,5/23,Zogby
PA,49,48,11/1,SurveyUSA
PA,50,46,10/30,Zogby
PA,47,47,10/29,Quinnipiac Univ.
PA,49,47,10/29,Gallup
PA,48,46,10/27,Mason-Dixon
PA,50,45,10/25,West Chester Univ.
PA,48,47,10/24,Temple Univ.
PA,49,45,10/24,Zogby
PA,49,46,10/24,Gallup
PA,45,44,10/23,Quinnipiac Univ.
PA,48,45,10/23,LA Times
PA,50,47,10/23,ARG
PA,53,45,10/23,SurveyUSA
PA,49,44,10/20,Keystone Poll
PA,48,46,10/19,Muhlenberg Coll.
PA,47,41,10/17,Quinnipiac
PA,46,45,10/16,Mason-Dixon
PA,51,45,10/15,SurveyUSA
PA,52,46,10/15,Zogby
PA,49,45,10/12,Rasmussen
PA,48,45,10/10,Rasmussen
PA,46,43,10/9,Quinnipiac Univ.
PA,48,46,10/4,ARG
PA,49,47,10/3,SurveyUSA
PA,50,43,10/2,West Chester Univ.
PA,52,46,10/2,Zogby
PA,48,41,10/1,Franklin and Marshall Coll.
PA,47,48,9/30,Rasmussen
PA,45,44,9/27,Mason-Dixon
PA,46,48,9/26,Gallup
PA,46,42,9/23,Quinnipiac Univ.
PA,48,45,9/21,Opinion Dynamics
PA,49,47,9/20,Temple Univ.
PA,46,47,9/19,Rasmussen
PA,47,46,9/16,ARG
PA,45,44,9/14,Mason-Dixon
PA,51,48,9/14,Zogby
PA,42,46,9/12,Quinnipiac Univ.
PA,48,46,9/12,Rasmussen
PA,49,49,9/11,Franklin and Marshall Coll.
PA,47,47,9/10,ABC News
PA,48,49,9/8,Rasmussen
PA,49,47,9/7,SurveyUSA
PA,47,48,9/5,Gallup
PA,47,47,8/26,Gallup
PA,48,45,8/21,Zogby & Pew
PA,52,44,8/21,Zogby
PA,47,42,8/16,Quinnipiac Univ.
PA,53,41,8/2,Survey USA
PA,53,45,7/30,Zogby
PA,52,45,7/23,Zogby
PA,48,38,7/21,LA Times
PA,52,45,7/10,Zogby
PA,48,43,6/30,Rasmussen
PA,43,45,6/23,Quinnipiac & Fox
PA,48,43,6/23,Rasmussen
PA,49,43,6/22,Quinnipiac Univ.
PA,52,45,6/20,Zogby
PA,47,46,6/9,Survey USA
PA,44,41,5/25,Survey USA
PA,51,43,5/23,Zogby
RI,54,41,10/25,SurveyUSA
RI,56,36,10/9,SurveyUSA
RI,55,37,9/18,SurveyUSA
RI,58,30,9/11,ARG
RI,49,25,6/14,Brown Univ.
RI,53,31,2/4,Rhode Island College
SC,43,54,10/29,SurveyUSA
SC,39,57,10/22,SurveyUSA
SC,40,53,10/19,Mason-Dixon
SC,42,55,10/10,SurveyUSA
SC,38,58,9/19,SurveyUSA
SC,42,51,9/19,Rasmussen
SC,40,52,9/14,ARG
SC,44,50,9/12,Rasmussen
SC,42,53,8/18,Survey USA
SC,44,51,7/12,Survey USA
SC,40,55,6/29,Public Opin. Strat.
SC,39,49,5/31,Rasmussen
SD,36,55,10/19,Mason-Dixon
SD,42,52,10/11,Rasmussen
SD,29,57,9/25,Zogby
SD,37,50,9/20,Mason-Dixon
SD,39,58,9/9,ARG
SD,41,54,9/7,Rasmussen
SD,35,51,5/21,Zogby
TN,40,58,10/28,SurveyUSA
TN,41,53,10/19,Mason-Dixon
TN,38,60,10/17,SurveyUSA
TN,48,50,10/15,Zogby
TN,37,54,10/12,Univ. of Tennessee
TN,39,50,10/9,Middle Tenn. State Univ.
TN,39,58,10/3,SurveyUSA
TN,48,49,10/2,Zogby
TN,41,55,9/20,SurveyUSA
TN,43,50,9/16,ARG
TN,46,51,9/14,Zogby
TN,37,53,9/12,Mason-Dixon
TN,50,48,8/21,Zogby
TN,46,48,8/2,Survey USA
TN,49,48,7/30,Zogby
TN,49,47,7/23,Zogby
TN,48,48,7/10,Zogby
TN,39,57,6/20,Zogby
TN,41,49,6/16,Rasmussen
TN,43,54,6/6,Zogby
TN,47,49,5/23,Zogby
