State,Gore,Bush,Start,End,Pollster
FL,48,43,10/23/2000,10/23/2000,CBS News/New York Times
FL,45,46,10/25/2000,10/25/2000,Rasmussen Reports/Pulse Opinion Research
FL,48,43,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
FL,44,47,10/28/2000,10/28/2000,Los Angeles Times
FL,49,39,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
FL,49,44,10/31/2000,10/31/2000,American Research Group
FL,44,46,10/31/2000,10/31/2000,"Mason-Dixon Polling & Research, Inc."
FL,45,47,11/1/2000,11/1/2000,Rasmussen Reports/Pulse Opinion Research
FL,47,42,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
FL,49,46,11/3/2000,11/3/2000,Harris Interactive
FL,50,46,11/4/2000,11/4/2000,SurveyUSA
FL,48,46,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
GA,40,50,10/22/2000,10/22/2000,Rasmussen Reports/Pulse Opinion Research
GA,37,53,10/29/2000,10/29/2000,Marketing Workshop
GA,43,51,11/3/2000,11/3/2000,Harris Interactive
HI,50,31,10/22/2000,10/22/2000,Ward Research (Honolulu Star-Advertiser)
HI,53,38,11/3/2000,11/3/2000,Harris Interactive
IA,46,46,10/29/2000,10/29/2000,SurveyUSA
IA,41,44,10/31/2000,10/31/2000,PSI
IA,44,43,11/1/2000,11/1/2000,Research 2000
IA,44,42,11/1/2000,11/1/2000,Selzer & Company
IA,42,46,11/2/2000,11/2/2000,Rasmussen Reports/Pulse Opinion Research
IA,50,44,11/3/2000,11/3/2000,Harris Interactive
ID,24,62,10/21/2000,10/21/2000,Rasmussen Reports/Pulse Opinion Research
ID,30,56,10/26/2000,10/26/2000,"Mason-Dixon Polling & Research, Inc."
ID,27,65,11/3/2000,11/3/2000,Harris Interactive
IL,45,43,10/17/2000,10/17/2000,KRC/Communications Research
IL,47,40,10/17/2000,10/17/2000,Research 2000
IL,45,35,10/22/2000,10/22/2000,Market Shares Corp.
IL,44,40,10/23/2000,10/23/2000,Rasmussen Reports/Pulse Opinion Research
IL,43,38,10/23/2000,10/23/2000,"Richard Day Research, Inc."
IL,46,39,10/25/2000,10/25/2000,Zogby Interactive/JZ Analytics
IL,42,45,10/26/2000,10/26/2000,Fox News/Opinion Dynamics Corp.
IL,46,39,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
IL,46,43,10/29/2000,10/29/2000,"Mason-Dixon Polling & Research, Inc."
IL,47,41,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
IL,48,42,11/1/2000,11/1/2000,Research 2000
IL,48,39,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
IL,51,45,11/3/2000,11/3/2000,Harris Interactive
IL,50,42,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
IN,30,53,10/27/2000,10/27/2000,Market Shares Corp.
IN,33,52,10/30/2000,10/30/2000,Rasmussen Reports/Pulse Opinion Research
IN,32,60,11/1/2000,11/1/2000,SurveyUSA
IN,39,56,11/3/2000,11/3/2000,Harris Interactive
KS,38,55,11/3/2000,11/3/2000,Harris Interactive
KY,39,48,10/21/2000,10/21/2000,Rasmussen Reports/Pulse Opinion Research
KY,40,55,10/28/2000,10/28/2000,Louisville Courier-Journal
KY,40,58,11/1/2000,11/1/2000,SurveyUSA
KY,42,54,11/3/2000,11/3/2000,Harris Interactive
KY,41,51,11/3/2000,11/3/2000,"Mason-Dixon Polling & Research, Inc."
LA,41,48,10/19/2000,10/19/2000,Rasmussen Reports/Pulse Opinion Research
LA,35,48,10/19/2000,10/19/2000,University of New Orleans
LA,39,52,10/21/2000,10/21/2000,"Mason-Dixon Polling & Research, Inc."
LA,38,46,10/21/2000,10/21/2000,Southeastern Louisiana University
MA,54,28,10/25/2000,10/25/2000,KRC/Communications Research
MA,52,28,10/25/2000,10/25/2000,"RKM Research and Communications, Inc."
MA,52,30,10/27/2000,10/27/2000,University of Massachusetts Amherst
MA,58,32,11/3/2000,11/3/2000,Harris Interactive
MD,52,41,10/21/2000,10/21/2000,SurveyUSA
MD,48,40,10/26/2000,10/26/2000,"Mason-Dixon Polling & Research, Inc."
MD,47,40,10/26/2000,10/26/2000,Rasmussen Reports/Pulse Opinion Research
MD,52,38,10/27/2000,10/27/2000,"Gonzales Research & Marketing Strategies, Inc."
MD,56,39,11/3/2000,11/3/2000,Harris Interactive
ME,47,36,10/22/2000,10/22/2000,Pan Atlantic SMS Group
ME,39,43,10/22/2000,10/22/2000,Rasmussen Reports/Pulse Opinion Research
ME,42,41,10/24/2000,10/24/2000,Market Decisions
ME,42,42,10/29/2000,10/29/2000,"RKM Research and Communications, Inc."
ME,50,42,11/3/2000,11/3/2000,Harris Interactive
MI,43,43,10/18/2000,10/18/2000,EPIC-MRA
MI,43,43,10/18/2000,10/18/2000,Rasmussen Reports/Pulse Opinion Research
MI,46,43,10/22/2000,10/22/2000,American Research Group
MI,41,42,10/23/2000,10/23/2000,Hill Research Consultants
MI,42,44,10/24/2000,10/24/2000,EPIC-MRA
MI,42,42,10/24/2000,10/24/2000,Mitchell Research & Communications
MI,43,42,10/24/2000,10/24/2000,US News & World Report
MI,39,45,10/25/2000,10/25/2000,Marketing Resource Group (MRG)
MI,43,40,10/26/2000,10/26/2000,Fox News/Opinion Dynamics Corp.
MI,45,45,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
MI,48,44,10/28/2000,10/28/2000,Los Angeles Times
MI,43,43,10/29/2000,10/29/2000,Rasmussen Reports/Pulse Opinion Research
MI,46,44,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
MI,48,44,10/31/2000,10/31/2000,American Research Group
MI,46,41,11/1/2000,11/1/2000,Mitchell Research & Communications
MI,46,41,11/1/2000,11/1/2000,Research 2000
MI,45,44,11/2/2000,11/2/2000,EPIC-MRA
MI,49,40,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
MI,50,45,11/3/2000,11/3/2000,Harris Interactive
MI,44,45,11/4/2000,11/4/2000,Rasmussen Reports/Pulse Opinion Research
MI,46,48,11/4/2000,11/4/2000,SurveyUSA
MI,51,44,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
MN,38,41,10/19/2000,10/19/2000,St. Cloud State University
MN,44,41,10/27/2000,10/27/2000,"Mason-Dixon Polling & Research, Inc."
MN,47,37,11/1/2000,11/1/2000,Star Tribune
MN,46,43,11/3/2000,11/3/2000,Harris Interactive
MO,42,46,10/23/2000,10/23/2000,Rasmussen Reports/Pulse Opinion Research
MO,44,45,10/25/2000,10/25/2000,"Mason-Dixon Polling & Research, Inc."
MO,46,44,10/25/2000,10/25/2000,Zogby Interactive/JZ Analytics
MO,46,44,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
MO,42,47,10/29/2000,10/29/2000,Rasmussen Reports/Pulse Opinion Research
MO,43,47,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
MO,45,45,11/1/2000,11/1/2000,Research 2000
MO,44,48,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
MO,46,45,11/3/2000,11/3/2000,American Research Group
MO,46,49,11/3/2000,11/3/2000,Harris Interactive
MO,46,46,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
MS,33,55,10/31/2000,10/31/2000,"Ethridge & Associates, LLC"
MS,41,52,11/3/2000,11/3/2000,"Mason-Dixon Polling & Research, Inc."
MT,28,56,10/19/2000,10/19/2000,Rasmussen Reports/Pulse Opinion Research
MT,31,55,10/21/2000,10/21/2000,Montana State University Billings
MT,37,49,10/24/2000,10/24/2000,"Mason-Dixon Polling & Research, Inc."
NC,41,48,10/29/2000,10/29/2000,"Mason-Dixon Polling & Research, Inc."
NC,42,52,10/31/2000,10/31/2000,Research 2000
NC,40,50,11/1/2000,11/1/2000,Rasmussen Reports/Pulse Opinion Research
NC,46,51,11/3/2000,11/3/2000,Harris Interactive
NC,39,56,11/4/2000,11/4/2000,SurveyUSA
ND,34,49,10/21/2000,10/21/2000,Rasmussen Reports/Pulse Opinion Research
NE,31,56,10/26/2000,10/26/2000,"RKM Research and Communications, Inc."
NE,38,57,11/3/2000,11/3/2000,Harris Interactive
NH,44,41,10/17/2000,10/17/2000,Research 2000
NH,38,46,10/22/2000,10/22/2000,Rasmussen Reports/Pulse Opinion Research
NH,43,40,10/24/2000,10/24/2000,Franklin Pierce University
NH,46,42,10/31/2000,10/31/2000,Research 2000
NH,43,42,10/31/2000,10/31/2000,"RKM Research and Communications, Inc."
NH,40,45,11/1/2000,11/1/2000,American Research Group
NH,38,48,11/3/2000,11/3/2000,American Research Group
NH,47,45,11/3/2000,11/3/2000,Harris Interactive
NH,39,45,11/3/2000,11/3/2000,University of New Hampshire
NJ,47,41,10/21/2000,10/21/2000,Quinnipiac University
NJ,47,35,10/25/2000,10/25/2000,Rutgers University
NJ,49,45,10/25/2000,10/25/2000,SurveyUSA
NJ,41,36,10/27/2000,10/27/2000,Monmouth University
NJ,50,38,10/27/2000,10/27/2000,Quinnipiac University
NJ,45,39,10/30/2000,10/30/2000,Rasmussen Reports/Pulse Opinion Research
NJ,54,40,11/3/2000,11/3/2000,Harris Interactive
NJ,47,34,11/3/2000,11/3/2000,Monmouth University
NJ,49,41,11/3/2000,11/3/2000,Quinnipiac University
NJ,46,40,11/5/2000,11/5/2000,Rasmussen Reports/Pulse Opinion Research
NM,41,44,11/1/2000,11/1/2000,"Research & Polling, Inc."
NM,45,45,11/2/2000,11/2/2000,"Mason-Dixon Polling & Research, Inc."
NM,49,44,11/3/2000,11/3/2000,Harris Interactive
NV,37,49,10/23/2000,10/23/2000,Rasmussen Reports/Pulse Opinion Research
NV,43,47,10/27/2000,10/27/2000,"Mason-Dixon Polling & Research, Inc."
NV,44,49,10/31/2000,10/31/2000,SurveyUSA
NV,45,48,11/3/2000,11/3/2000,Harris Interactive
NY,48,37,10/22/2000,10/22/2000,Rasmussen Reports/Pulse Opinion Research
NY,55,31,10/23/2000,10/23/2000,Blum & Weprin Associates
NY,55,35,10/27/2000,10/27/2000,CBS News/New York Times
NY,54,33,10/27/2000,10/27/2000,Quinnipiac University
NY,50,37,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
NY,50,36,10/30/2000,10/30/2000,Marist College
NY,51,38,10/30/2000,10/30/2000,Princeton Survey Research Associates International
NY,49,37,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
NY,55,36,10/31/2000,10/31/2000,SurveyUSA
NY,55,31,11/1/2000,11/1/2000,Blum & Weprin Associates
NY,53,33,11/2/2000,11/2/2000,Blum & Weprin Associates
NY,52,38,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
NY,53,38,11/3/2000,11/3/2000,Harris Interactive
NY,55,34,11/3/2000,11/3/2000,Quinnipiac University
NY,55,37,11/4/2000,11/4/2000,Marist College
NY,50,36,11/4/2000,11/4/2000,Rasmussen Reports/Pulse Opinion Research
NY,54,37,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
OH,41,45,10/19/2000,10/19/2000,"Mason-Dixon Polling & Research, Inc."
OH,42,50,10/22/2000,10/22/2000,University of Cincinnati (Ohio Poll)
OH,39,48,10/23/2000,10/23/2000,Rasmussen Reports/Pulse Opinion Research
OH,43,46,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
OH,42,49,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
OH,42,52,10/31/2000,10/31/2000,Columbus Dispatch
OH,43,50,11/1/2000,11/1/2000,SurveyUSA
OH,40,46,11/2/2000,11/2/2000,"Mason-Dixon Polling & Research, Inc."
OH,42,49,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
OH,46,49,11/3/2000,11/3/2000,Harris Interactive
OH,43.200001,52.599998,11/3/2000,11/3/2000,University of Cincinnati (Ohio Poll)
OH,43,50,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
OK,37,59,11/3/2000,11/3/2000,Harris Interactive
OK,39,54,11/3/2000,11/3/2000,"Mason-Dixon Polling & Research, Inc."
OR,38,43,10/21/2000,10/21/2000,Rasmussen Reports/Pulse Opinion Research
OR,41,45,10/22/2000,10/22/2000,American Research Group
OR,45,44,10/27/2000,10/27/2000,"Davis, Hibbitts & Midghall, Inc."
OR,42,50,10/29/2000,10/29/2000,SurveyUSA
OR,49,42,11/3/2000,11/3/2000,Harris Interactive
PA,42,42,10/17/2000,10/17/2000,Lincoln Institute
PA,42,43,10/18/2000,10/18/2000,Rasmussen Reports/Pulse Opinion Research
PA,44,33,10/21/2000,10/21/2000,West Chester University
PA,48,43,10/22/2000,10/22/2000,American Research Group
PA,43,45,10/22/2000,10/22/2000,Public Opinion Strategies
PA,45,40,10/24/2000,10/24/2000,US News & World Report
PA,42,39,10/26/2000,10/26/2000,Fox News/Opinion Dynamics Corp.
PA,40,47,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
PA,45,47,10/28/2000,10/28/2000,Los Angeles Times
PA,42,43,10/28/2000,10/28/2000,Millersville University
PA,42,45,10/29/2000,10/29/2000,Rasmussen Reports/Pulse Opinion Research
PA,46,42,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
PA,48,42,10/31/2000,10/31/2000,American Research Group
PA,47,43,11/1/2000,11/1/2000,Decision Forecasting
PA,48.009998,48,11/1/2000,11/1/2000,SurveyUSA
PA,48,45,11/2/2000,11/2/2000,"Mason-Dixon Polling & Research, Inc."
PA,42,47,11/2/2000,11/2/2000,Rasmussen Reports/Pulse Opinion Research
PA,43,42,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
PA,50,45,11/3/2000,11/3/2000,Harris Interactive
PA,43,47,11/5/2000,11/5/2000,Rasmussen Reports/Pulse Opinion Research
PA,50,42,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
RI,49,30,10/19/2000,10/19/2000,Rasmussen Reports/Pulse Opinion Research
RI,47,29,10/22/2000,10/22/2000,Brown University
RI,57,31,10/29/2000,10/29/2000,SurveyUSA
SC,41,54,10/22/2000,10/22/2000,SurveyUSA
SC,38,53,10/29/2000,10/29/2000,"Mason-Dixon Polling & Research, Inc."
SD,33,51,10/23/2000,10/23/2000,Jim Meader (KELOLAND-TV)
TN,43,47,10/21/2000,10/21/2000,Rasmussen Reports/Pulse Opinion Research
TN,43,53,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
TN,44,45,10/28/2000,10/28/2000,Rasmussen Reports/Pulse Opinion Research
TN,43,45,10/29/2000,10/29/2000,Multi Quest International Inc
TN,46,49,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
TN,49,43,10/31/2000,10/31/2000,American Research Group
TN,44,47,10/31/2000,10/31/2000,"Ethridge & Associates, LLC"
TN,45,46,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
TN,47,49,11/3/2000,11/3/2000,Harris Interactive
TN,45,49,11/3/2000,11/3/2000,"Mason-Dixon Polling & Research, Inc."
TN,46,51,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
TX,39,57,11/3/2000,11/3/2000,Harris Interactive
TX,30,64,11/3/2000,11/3/2000,"Mason-Dixon Polling & Research, Inc."
TX,27,57,11/3/2000,11/3/2000,Scripps Howard
UT,24,62,10/24/2000,10/24/2000,Rasmussen Reports/Pulse Opinion Research
UT,25,65,11/3/2000,11/3/2000,Harris Interactive
UT,24,60,11/3/2000,11/3/2000,Valley Research
VA,40,54,10/21/2000,10/21/2000,Virginia Commonwealth University
VA,45,49,10/24/2000,10/24/2000,ABC News/Washington Post
VA,38,50,10/24/2000,10/24/2000,Rasmussen Reports/Pulse Opinion Research
VA,41,48,10/25/2000,10/25/2000,"Mason-Dixon Polling & Research, Inc."
VA,40,50,10/30/2000,10/30/2000,Rasmussen Reports/Pulse Opinion Research
VA,40,46,10/30/2000,10/30/2000,Richmond Times-Dispatch
VA,41,49,10/31/2000,10/31/2000,"Mason-Dixon Polling & Research, Inc."
VA,45,51,11/3/2000,11/3/2000,Harris Interactive
VA,42,53,11/4/2000,11/4/2000,SurveyUSA
VT,47,38,10/19/2000,10/19/2000,"Mason-Dixon Polling & Research, Inc."
VT,52,36,10/24/2000,10/24/2000,Research 2000
VT,45,39,10/26/2000,10/26/2000,Rasmussen Reports/Pulse Opinion Research
WA,46,37,10/19/2000,10/19/2000,Elway Research
WA,46,42,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
WA,45,45,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
WA,46,44,10/31/2000,10/31/2000,SurveyUSA
WA,45,44,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
WA,46,47,11/3/2000,11/3/2000,Harris Interactive
WA,43,44,11/5/2000,11/5/2000,Rasmussen Reports/Pulse Opinion Research
WA,50,42,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
WI,40,49,10/20/2000,10/20/2000,Harris Interactive
WI,46,39,10/21/2000,10/21/2000,St. Norbert College
WI,43,42,10/24/2000,10/24/2000,US News & World Report
WI,39,46,10/27/2000,10/27/2000,Market Shares Corp.
WI,47,41,10/27/2000,10/27/2000,Zogby Interactive/JZ Analytics
WI,50,38,10/30/2000,10/30/2000,Zogby Interactive/JZ Analytics
WI,46,40,11/1/2000,11/1/2000,Research 2000
WI,45,44,11/2/2000,11/2/2000,Zogby Interactive/JZ Analytics
WI,47,47,11/3/2000,11/3/2000,Harris Interactive
WI,39,44,11/5/2000,11/5/2000,Market Shares Corp.
WI,43,47,11/5/2000,11/5/2000,Rasmussen Reports/Pulse Opinion Research
WI,44,47,11/5/2000,11/5/2000,Zogby Interactive/JZ Analytics
WV,39,49,10/18/2000,10/18/2000,Ohio State University
WV,42,44,10/18/2000,10/18/2000,Rasmussen Reports/Pulse Opinion Research
WV,39,41,10/25/2000,10/25/2000,West Virginia Research Center
WV,42,45,11/2/2000,11/2/2000,Rasmussen Reports/Pulse Opinion Research
WV,46,50,11/3/2000,11/3/2000,Harris Interactive
